epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3604,1.11268,1.87058,1.16773,0.73134,0.70303,0.77703,0.57978,0.89126,1.44875,0.96779,0.000653333,0.000653333,0.000653333
2,72.1026,1.11414,1.25956,1.1597,0.78347,0.7456,0.80976,0.61247,0.8958,1.12195,1.01089,0.00105864,0.00105864,0.00105864
3,106.825,1.06603,1.17667,1.14353,0.77009,0.76364,0.8219,0.62015,0.89244,1.08196,1.01001,0.00119995,0.00119995,0.00119995
4,142.474,1.02984,1.10142,1.1334,0.83425,0.82121,0.89367,0.70785,0.76647,0.87265,0.97236,0.000812,0.000812,0.000812
5,178.452,0.98876,1.07578,1.11186,0.85105,0.89091,0.92465,0.76381,0.66848,0.7637,0.92402,0.000416,0.000416,0.000416
